Text,Difficulty
Franck est français.,A1
Il est employé,A1
Il habite en Italie avec sa femme et ses enfants.,A1
Il travaille à Rome,A1
Il parle italien et anglais,A1
Sa femme s’appelle Véronique,A1
Elle a 38 ans,A1
Elle ne travaille pas,A1
Franck et Véronique aiment le théâtre et la danse,A1
Ils vont souvent à l’opéra,A1
Sylvie est québécoise,A1
Elle a 21 ans,A1
Elle habite à Montréal,A1
Elle parle anglais et français et elle étudie l’espagnol,A1
"Elle cherche un correspondant au Mexique, aux États-Unis, en Espagne ou en Amérique du Sud",A1
Elle aime le sport et la musique,A1
Elle va souvent au cinéma,A1
"Sur la table, il y a un chat noir, un petit livre, un vase, une assiette et un sac",A1
Marc n’est pas très grand,A1
Ma maison est grande,A1
Je n’ai pas de voiture et je n’aime pas beaucoup prendre le métro,A1
"Tous les ans, Jean passe ses vacances dans un grand hôtel du Sud de la France",A1
Étienne veut aller à Lille dimanche prochain,A1
J’habite à Rouen mais je travaille à Paris,A1
"En général, je me lève assez tôt tous les matins",A1
"Le soir, pour me détendre, j’écoute de la musique ou je regarde un peu la télé",A1
"Nous achetons du riz, de la salade, de la viande, du fromage, deux cent cinquante grammes de beurre et des légumes",A1
"Hier, Clara a fait les magasins",A1
Étienne et Léa sont partis pour deux jours à Berlin,A1
"Dans la classe, il est interdit de fumer",A1
On doit écouter le professeur et étudier,A1
Céline est âgée de 35 ans,A1
Vincent cherche une idée de cadeau pour le départ de sa collègue de bureau,A2
Pour réussir un entretien il faut écouter avec attention et répondre avec des phrases courtes,B1
Il ne faut pas utiliser de mots familiers pendant l’entretien,A2
Il y a beaucoup d’avantages à Paris,A1
Cette année Virginie est partie une semaine dans un hôtel à Arcachon avec son mari,A1
"Quand j’étais petit, j’habitais à la campagne je voulais être écrivain",A1
"Dans le sac, il y a un téléphone, des clés, un ordinateur, une photo et un portefeuille",A1
Il a les cheveux blonds,A1
"Il y a cinq chambres, une grande cuisine, un salon et deux salles de bains",A1
Je préfère aller au travail à vélo,A1
C’est un hôtel au bord de la mer,A1
Il doit être à Lille avant midi,A1
Je dois aller au bureau trois fois par semaine parce que j’ai des réunions pour déjeuner avec des clients,A2
Je fais ma toilette et je prends mon petit déjeuner,A1
"Je ne me couche pas trop tard, vers minuit",A1
Nous n’achetons pas de vin,A1
Elle a acheté des vêtements : un beau pull chaud et et une belle robe,A1
Ils sont arrivés samedi matin et ils ont visité la ville toute la journée,A1
On ne peut pas utiliser son portable et il n’est pas permis de manger,A1
On doit aussi faire tous les exercices,A1
Elle est au chômage en ce moment,A1
"Il ne la connaît pas bien, alors il demande à ses autres collègues",A1
Il faut aussi poser des questions sur le travail et les horaires de l’entreprise,A2
On peut sortir tous les jours dans les bars ou en boîte,A1
Ils se sont beaucoup promenés,A1
"J’étais assez calme, j’avais beaucoup de copains et je passais des heures avec eux tous les jours",A1
"À droite de la table, il y a un fauteuil et sur le fauteuil il y a un blouson",A1
Il a des lunettes,A1
J’habite un quartier calme,A1
"Quand il ne fait pas beau, j’y vais en bus",A1
Il choisit toujours une grande chambre,A1
Il y a deux trains pour Lille le matin,A1
"J’y vais le lundi, le mardi et le mercredi",A1
Je travaille chez moi le matin et l’après-midi,A1
"Ce soir, nous mangeons du poisson et des pommes de terre au dîner",A1
La robe a coûté seulement vingt euros,A1
"Le soir, ils sont allés à un concert",A1
Elle sait parler anglais et espagnol,A1
Ils ont beaucoup d’idées,A1
Il faut bien faire attention à ses vêtements et à sa coiffure,A2
"On peut aussi aller au théâtre, dans les musées ou au cinéma",A1
Virginie adore les vacances à la mer,A1
j’adorais écrire et raconter des histoires,A1
