word;tag;freq_A1;freq_A2;freq_B1;freq_B2;freq_C1;freq_C2
#NOM?;ADV;0.8346;198.0576;210.1782;223.4478;297.6957;154.624
abaisser;VER;0.8346;0.0;0.4317;0.0;0.0;12.833
abandon;NOM;0.0;0.4157;12.2898;3.8116;40.1357;0.0
abandonner;VER;20.6833;63.4051;140.6614;47.0027;66.9321;56.7717
abasourdir;VER;0.0;0.2891;0.0;8.2287;0.0;0.0
abattage;NOM;0.0;0.0;0.5857;0.0;18.0014;0.0
abattoir;NOM;0.0;0.0;0.5531;0.8102;6.0005;0.0
abattre;VER;0.0;0.0;7.0412;1.3018;18.0014;0.0
abbaye;NOM;0.0;7.633;14.5595;0.0;3.4423;0.0
abbé;NOM;0.0;1.2456;9.7876;0.0;0.0;0.0
abeille;NOM;0.0;0.0;2.9042;0.0;31.5653;48.2218
aberration;NOM;0.0;0.0;0.0;1.3018;4.139;0.0
aboiement;NOM;0.0;0.0;2.6693;0.0;0.0;0.0
abolir;VER;0.0;0.0;0.6378;2.2839;62.3406;0.0
abolition;NOM;0.0;0.0;0.3906;0.0;50.2393;0.0
abomination;NOM;0.0;0.0;0.0;0.0;4.139;0.0
abondamment;ADV;0.0;0.0;3.5861;0.0;4.139;0.0
abondance;NOM;0.0;0.0;4.9077;0.0;4.139;0.0
abondant;ADJ;0.0;1.2017;0.5857;0.0;6.0005;12.833
abonder;VER;0.0;0.0;0.0;1.3018;0.0;0.0
abonnement;NOM;0.0;0.5137;0.4665;0.0;0.0;0.0
abonner;VER;0.0;0.0;1.757;0.0;4.139;0.0
abonné;NOM;0.0;0.1937;0.0;2.5411;6.0005;0.0
abord;NOM;0.0;0.4157;0.5857;0.0;12.0009;0.0
abordable;ADJ;0.0;0.0;0.0;0.0;4.139;0.0
aborder;VER;0.0;4.4863;42.8479;11.0661;55.2176;12.833
aborigène;ADJ;0.0;0.606;0.0;0.0;0.0;0.0
aboutir;VER;0.0;0.0;5.0402;2.2839;20.6179;19.328
aboutissement;NOM;0.0;0.0;0.0;0.0;0.0;12.833
aboyer;VER;7.2462;2.0851;11.117;0.0;0.0;0.0
abreuver;VER;0.0;0.4157;0.0;0.0;0.0;0.0
abri;NOM;2.5165;1.5638;7.1395;0.911;0.0;0.0
abricot;NOM;8.1307;0.0;1.9134;0.0;0.0;0.0
abriter;VER;8.6224;9.8649;4.3647;8.4038;0.0;0.0
abroger;VER;0.0;0.0;0.0;0.0;4.139;0.0
abruti;NOM;0.0;0.0;0.0;0.911;0.0;0.0
abrutir;VER;0.0;0.0;0.1243;0.0;0.0;0.0
abréger;VER;0.0;0.0;0.438;2.2839;0.0;0.0
absence;NOM;7.4133;16.0247;29.6427;66.9849;94.8864;138.6137
absent;ADJ;0.8346;0.5213;1.757;0.0;40.1357;0.0
absent;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
absenter;VER;0.0;0.0;0.0;0.3387;0.0;38.656
absentéisme;NOM;0.0;0.0;2.9283;0.0;0.0;0.0
absolu;ADJ;0.6291;1.2017;0.4317;1.2705;18.0014;44.6051
absolu;NOM;0.0;0.0;0.0;2.2839;0.0;0.0
absolument;ADV;0.9464;55.2222;34.8657;46.1469;49.5147;0.0
absorber;VER;0.0;0.6008;0.3906;0.911;40.6321;0.0
absorption;NOM;0.0;0.0;0.0;0.0;8.2781;0.0
absoudre;VER;0.0;0.0;5.3763;0.0;3.4423;0.0
abstenir;VER;0.0;0.0;0.4665;0.0;3.4423;0.0
abstention;NOM;0.0;0.0;0.4665;0.0;0.0;0.0
abstraction;NOM;0.0;0.0;0.0;0.0;0.0;19.328
abstraire;VER;0.0;0.0;0.438;0.911;6.0005;0.0
absurde;ADJ;0.0;4.6488;6.8894;25.467;0.0;0.0
absurde;NOM;0.0;0.606;7.7266;0.0;0.0;0.0
abus;NOM;0.0;0.0;0.438;0.8102;41.2358;0.0
abuser;VER;0.0;0.0;7.5517;2.2839;20.6179;19.328
abusif;ADJ;0.0;0.0;0.0;0.0;8.2781;0.0
abyme;NOM;0.0;1.2017;0.0;0.0;0.0;0.0
abyssal;ADJ;0.0;0.0;0.0;0.0;3.4423;0.0
abîme;NOM;0.0;0.1865;8.271;0.0;26.3397;0.0
abîmer;VER;1.1123;0.0;0.438;8.9868;0.0;0.0
acacia;NOM;0.0;0.0;0.0;0.0;0.0;19.328
académicien;NOM;0.0;0.0;0.438;0.0;3.4423;0.0
académicien;ADJ;0.0;0.0;0.438;0.0;0.0;0.0
académie;NOM;0.0;0.0;3.6187;2.2839;3.4423;0.0
académique;ADJ;0.0;0.0;0.0;14.4942;0.0;19.328
académisme;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
accablant;ADJ;0.0;0.0;0.0;1.3018;0.0;0.0
accabler;VER;0.0;0.0;0.2331;0.0;0.0;0.0
accaparer;VER;0.0;0.0;0.0;4.5679;4.139;0.0
accent;NOM;28.6793;8.746;7.1182;19.2521;20.6179;51.3319
